path_id	entrez_id
10	3208
10	113452
10	23673
10	5511
10	9473
10	6118
10	199870
10	9698
10	51538
10	64129
10	553115
10	200081
10	55721
10	84734
10	3065
10	65108
10	81629
10	51441
10	399474
10	51102
10	127544
10	10691
10	127540
10	113451
10	55223
10	27245
10	2268
10	2537
10	10657
10	55116
10	23633
10	79140
10	8073
10	576
10	54952
10	115273
10	7579
10	653121
10	339487
10	149069
10	1104
10	149076
10	127550
10	6429
10	84970
10	114784
10	4985
10	3061
10	1307
10	6883
10	100128071
10	90853
10	204
10	8565
10	4146
10	8668
10	55108
10	3932
10	56063
10	1912
10	2035
11	83858
11	63976
11	5192
11	5195
11	9651
11	80176
11	6518
11	23207
11	64802
11	148870
11	57540
11	79258
11	55092
11	54455
11	8659
11	1185
11	63036
11	51032
11	11079
11	55229
11	55187
11	116362
11	80045
11	9923
11	261734
11	388585
11	26099
11	149420
11	55707
11	7780
11	10256
11	79927
11	6548
11	26119
11	5051
11	55966
11	84275
11	23341
11	51042
11	1969
11	128272
11	23254
11	7133
11	10277
11	5322
11	79363
11	5081
11	2134
11	54897
11	79814
11	26279
11	55920
11	842
11	84301
11	353238
11	23569
11	81569
11	79906
11	84966
11	55160
11	55450
11	79594
11	163933
11	978
11	65018
11	1870
11	3399
11	6135
11	57095
11	11313
11	2582
11	5226
11	100526739
11	378708
11	1676
11	1325
11	9563
11	1650
11	64600
11	127281
11	4879
11	90231
11	5351
11	60672
11	943
11	9927
11	56181
11	79000
11	164091
11	3925
11	79707
11	80835
11	3104
11	2046
11	4237
11	23400
11	6390
11	11240
11	29943
11	51702
11	57470
11	9731
11	1677
11	80818
11	6920
11	8718
11	84676
11	110806296
11	57449
11	55052
11	64856
11	219293
11	54546
11	23252
11	30814
11	653619
11	729528
11	391004
11	643988
11	8510
11	728661
11	728642
11	65220
11	339456
11	83442
11	1043
11	257101
11	90529
11	57185
11	11123
11	400746
11	391013
11	50651
11	57576
11	388588
11	2048
11	984
11	101929983
11	440563
11	101060301
11	649330
11	26155
11	84069
11	57801
11	9636
11	375790
11	339448
11	401934
11	54991
11	148398
11	400745
11	1889
11	6723
11	5394
11	25949
11	57035
11	6007
11	23585
11	55219
11	10630
11	255104
11	441869
11	8764
11	343070
11	127707
11	57134
11	57190
11	2563
11	7709
11	149563
11	27129
11	1187
11	348487
11	79180
11	11330
11	79501
11	55210
11	339453
11	29101
11	142678
11	155184
11	140625
11	401944
11	3339
11	23436
11	10136
11	54361
11	9696
11	23028
11	127294
11	58985
11	163702
11	729059
11	85452
11	114827
11	8672
11	55650
11	84243
11	2810
11	54707
11	63906
11	10726
11	8431
11	388610
11	115572
11	378807
11	64793
11	79727
11	3151
11	91544
11	1269
11	55629
11	10772
11	57822
11	8289
11	55672
11	4878
11	55616
11	81669
11	126695
11	339451
11	6924
11	3155
11	2517
11	6248
11	374955
11	1188
11	127731
11	9903
11	148479
11	23352
11	246181
11	51154
11	22977
11	8574
11	54896
11	55735
11	7799
11	6006
11	23065
11	5590
11	163688
11	50809
11	57085
11	4524
11	284498
11	90326
11	646262
11	712
11	714
11	713
11	284723
11	388595
11	54751
11	84224
11	5909
11	84196
11	440567
11	249
11	23095
11	27237
11	127262
11	49856
11	7161
11	1953
11	9249
11	126767
11	93190
11	390999
11	65121
11	440560
11	343069
11	65122
11	400735
11	343071
11	440561
11	400736
11	645382
11	343066
11	441871
11	343068
11	391002
11	645425
11	126755
11	26232
11	93611
11	26270
11	374946
11	645414
11	10459
11	645359
11	55057
11	8784
11	51150
11	126792
11	388581
11	118424
11	6339
11	116983
11	54973
11	80772
11	83756
11	1855
11	54587
11	54998
11	84065
11	84958
11	9064
11	388611
11	199953
11	22883
11	56998
11	84328
11	5293
11	441873
11	9341
11	8863
11	10911
11	3604
11	11315
11	54206
11	148345
11	23038
11	10163
11	8547
11	5320
11	391003
11	118568799
11	100287898
11	80834
11	7293
11	10747
11	23261
11	10218
11	29914
11	2475
11	6195
11	729759
11	79947
11	23435
11	2782
11	81399
11	84808
11	2023
11	765
11	473
11	23013
11	199990
11	6497
11	2827
11	25932
11	10250
11	10236
11	832
11	440574
11	4681
11	100532736
11	3362
11	864
11	998
11	8514
11	26038
11	6146
11	388591
11	23463
11	387509
11	390992
11	54626
11	254173
11	126789
11	643965
11	127733
11	7798
11	3352
11	126917
11	11332
11	83715
12	8394
12	79005
12	2312
12	388698
12	126626
12	388695
12	653519
12	79626
12	3608
12	1945
12	125467750
12	1944
12	5710
12	2702
12	2703
