signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	grp1.detection	grp2.detection	grp1.detection_wp	grp2.detection_wp	grp1.mean_when_present	grp2.mean_when_present	signif_label	grp1.prop_present	grp2.prop_present	pan_prop_present
SBS10d	IHC-PHC	IHC	PHC	0.785361985495344	0	0	0	0.00063231377234627	0.0510093992738327	0.0023580035068478	0.00581329577430795	0	0	0	0.000590416296227755	0.0173912559935261	0.00101587641365532	0.00253969103413829	0.0246024096385542	0.0134666666666667								
SBS12	IHC-PHC	IHC	PHC	0.0147065932181003	0	0.00022933777153375	0.00455455972852995	0.0304995336583171	0.27609409728505	0.0243534680307381	0.0306263310083524	0	0	0.00109293297926731	0.0163112499749172	0.111605430675762	0.0128528564962223	0.0181880044757863	0.197787148594378	0.110773333333333	0.839666666666667	0.76125	0.111530454193201	0.0809592961225716	*	0.132530120481928	0.0533333333333333	0.104838709677419
SBS13	IHC-PHC	IHC	PHC	0.0791868256860688	0	0	0.00343610106746175	0.0278696424157278	0.297676958865381	0.0241887055372101	0.0356389803477238	0	0	0.00974544374747595	0.0596263407836287	0.463620968638295	0.0551410788824597	0.0827116183236896	0.259008032128514	0.374213333333333	0.864203703703704	0.920576923076923	0.0908968607132003	0.148425480901157		0.216867469879518	0.346666666666667	0.28494623655914
SBS15	IHC-PHC	IHC	PHC	0.159376967491205	0	0	0	0	0.470187594874985	0.0226791146984428	0.15686387666423	0	0	0	0	0.425966119077753	0.0310764189552802	0.145670713852876	0.0920923694779117	0.126746666666667	0.919434782608696	0.8892	0.239347517507093	0.228273704939924		0.0923694779116466	0.133333333333333	0.102150537634409
SBS16	IHC-PHC	IHC	PHC	0.0135056927193101	0	0	0.00334301981683955	0.0284036199951171	0.52116963921508	0.0351588763448111	0.0478391268298249	0	0	0.000404016378936837	0.011623380905638	0.287467679142568	0.023338158425046	0.0397809518608738	0.205903614457831	0.131853333333333	0.757955555555555	0.80525	0.155014418727994	0.171251439655394	*	0.180722891566265	0.106666666666667	0.150537634408602
SBS17a	IHC-PHC	IHC	PHC	0.107817921071915	0	0	0	0.00522614263396577	0.070347275135464	0.00648407534727062	0.0144154889416999	0	0	4.14596887737369e-05	0.0153488933260872	0.077104001815941	0.00976110720710643	0.0187713600136662	0.0849317269076305	0.12212	0.621076923076923	0.596	0.0516699982651847	0.052343129485552		0.0522088353413655	0.04	0.0430107526881721
SBS17b	IHC-PHC	IHC	PHC	0.202652420104821	0	0	0	0.00423130891716372	0.154431170928296	0.00674190176744301	0.0176708793694033	0	0	0	0.00114401623777356	0.272818530043091	0.00707692310565969	0.0230769231706294	0.102313253012048	0.0791333333333333	0.784222222222222	0.81325	0.0582957921639925	0.0976546510396703		0.072289156626506	0.0533333333333333	0.0725806451612903
SBS18	IHC-PHC	IHC	PHC	0.0299383429015697	0	0	0.00140198991891194	0.0155938791129831	0.410935371715329	0.0223119559330731	0.0328738285641136	0	0	0.000250379947288392	0.00720202009554292	0.100958944021584	0.00965459332885027	0.0181023624915943	0.13574297188755	0.08032	0.840260869565218	0.716	0.154263269197685	0.0702042071929941	*	0.0923694779116466	0.0533333333333333	0.0806451612903226
SBS2	IHC-PHC	IHC	PHC	0.0178900229411391	0	0.00029589729894461	0.0154528534501833	0.0483354483265527	0.384291075571305	0.0333788619554631	0.0419764476106581	0	0.00180756524839115	0.0322141789628282	0.079822734133979	0.413907588019391	0.0630374482743785	0.0762549777512644	0.395522088353414	0.494746666666667	0.823903225806451	0.866555555555556	0.0764386310046827	0.120313830667493	*	0.373493975903614	0.48	0.438172043010753
SBS20	IHC-PHC	IHC	PHC	0.130545581082196	0	0	0	0	0.266509731797649	0.00618011821987394	0.0530637736809865	0	0	0	0	0.101420572140436	0.00461111394331113	0.024702396124881	0.0420843373493976	0.03596	0.804363636363636	0.524	0.126382643996782	0.0751895718812871		0.0441767068273092	0.0266666666666667	0.0376344086021505
