signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	signif_label
SBS96	IHC-DCC	IHC	DCC	0.360856418976218	0	6.11110390530634e-05	0.00286317460915896	0.023397666856503	0.287354594786464	0.0253803613585096	0.0336154786078132	0	0	0.00115969717051337	0.0112388269027911	0.302024070034743	0.0311700059791119	0.0440679394877099	""
SBS97	IHC-DCC	IHC	DCC	0.716949836384233	0	2.02932713174869e-05	0.00456089283322095	0.0241384440846879	0.128818837745506	0.0165304986962249	0.0220111987987166	0	7.35885826342041e-05	0.00577130920161471	0.0263896962983465	0.0950188312844872	0.0164140256892742	0.0217088726858142	""
SBS98	IHC-DCC	IHC	DCC	0.00485988817595788	0	0	0.000282254804380578	0.0147644725548356	0.247464422369912	0.016780767237764	0.0296341208666896	0	0.00142237793813444	0.00434155758417179	0.021764448860766	0.121342566593448	0.020718397065957	0.0242701222772639	**
SBS99	IHC-DCC	IHC	DCC	0.803713337095006	0	6.61197690592929e-05	0.00285710300362328	0.0201493415143175	0.184204235663349	0.0197287031366701	0.0254530936840977	0	0.000347165219703442	0.00342918565937909	0.0162803035328525	0.10914635886598	0.0178162832540844	0.0221353822247716	""
SBS1	PHC-DCC	PHC	DCC	0.603218525081732	0.00164452277478105	0.0281536701320752	0.0491668847541683	0.0872460394236693	0.275109322710668	0.0661448348755849	0.0661448348755849	0.00277892125117726	0.0282967512030716	0.0506423478671205	0.104536666025539	0.208263518847465	0.0722444166232945	0.0722444166232945	""
SBS2	PHC-DCC	PHC	DCC	0.00250612054905963	0	0.000748300268527591	0.00887284808436768	0.0239419124216264	0.282602997110026	0.0230284407142715	0.0278569847350059	8.69542396021738e-05	0.00990864989236748	0.0208541049305555	0.0536498070123575	0.297309937752406	0.039919022536251	0.039919022536251	**
SBS3	PHC-DCC	PHC	DCC	0.772946961007771	0	0	0.00645583941516391	0.0531255960508051	0.572286726551583	0.0499040225932263	0.0748560338898394	0	0	0.00469728499304133	0.134295860449269	0.557020296412904	0.0732741738656659	0.111268189944159	""
SBS4	PHC-DCC	PHC	DCC	0.468761529473599	0	0	0.000416897711031138	0.00772171388842364	0.167549043631214	0.0150274593144985	0.0245012923605954	0	0	0	0.0117058025172687	0.155220794279632	0.0179357368014817	0.0387034320453027	""
SBS5	PHC-DCC	PHC	DCC	0.0175653185646424	0	0.00354521727178443	0.0269536602706489	0.103416281078856	0.289601669594412	0.0665825310904307	0.0756619671482168	0	0.0134725367997009	0.0759970207719237	0.205196272994728	0.382793470258799	0.112063656950867	0.117810511153475	*
SBS9	PHC-DCC	PHC	DCC	0.250428541935451	0	0	0	0.00369934313979963	0.470174694814637	0.0168505555222123	0.0451354165773545	0	0	0	0.000594743756097778	0.0226170711849278	0.00126574402409518	0.00399196192214635	""
