variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
ERBB4,LRRIQ1,147.033801847808,405.110366594011,9453.08096062207,0.001,0.793428779655977,0.992930925234141,1.73205322468746e-05,6.08662131918371,0.391224326933676,15.5578804796962,207.124266526458,402.602828292179,12,11,5,803,831,78.7346244131733,246.603630881113,237.614480662821,637.285854428082,3083.23884253069,24438.6321898508,,18659.0837418851
ERBB4,MACF1,169.458596732067,1035.55300741189,0.001,5419.39760525799,0.971068030651829,0.871858706777495,0.699928345138799,1.1489620352045,0.483354938737501,2.37705657504096,165.720785677977,1070.62512400858,10,24,1,630,665,87.990486358903,290.240062481663,674.517138267068,1506.9569134712,,2279.56550581683,301.949833965709,26328.4533047378
ERBB4,MED12,174.316728472531,403.149326711783,0.001,7012.34504866879,0.953941004426834,0.604140074037819,0.0266830014369789,3.33556450629048,0.484581004156336,6.88339922052405,172.383276130375,454.702430370736,18,22,3,1162,1205,109.988095677485,259.863860658363,257.28352944128,595.863829319114,,3090.24396765645,1695.32142946694,19439.7138920235
ERBB4,NF1,174.869586155691,438.114953203267,0.000999999999997669,4254.5406215448,0.920550804264976,0.588135701949621,0.208081400024425,2.36993533102949,0.557395447865669,4.25180245031466,172.383276129822,467.087253508644,19,27,2,1157,1205,110.336360178662,260.688261522751,292.946505601159,624.785919749589,,2085.0335464635,693.590445795801,13871.9960342347
ERBB4,NRAS,174.629418375412,4239.88401380143,0.001,0.001,0.762751339954828,0.802102147154723,0.611815054534852,1.59116192372552e-06,0.518923276743155,3.06627587359716e-06,172.383276129653,4208.59087473764,21,30,0,1154,1205,110.185626117465,260.329207709917,2897.94978015119,5943.32601504412,,1242.41087400376,,37361.1122163877
ERBB4,PBRM1,175.683290191843,708.493471789301,0.001,7990.39391625065,0.913130889290283,0.455068490280542,0.0703701222461777,3.55948521105364,0.763754632384287,4.66050883376203,172.383276130135,762.232286382579,18,36,3,1148,1205,110.851020497044,261.905171463641,501.529070305961,965.823333909469,,1766.20659817229,1935.97214348431,22019.8091863462
ERBB4,PEG3,184.264495939853,189.718514208947,2872.17247741677,0.001,0.740267692690032,0.973721236810029,0.105393216646168,2.94915447536008,0.480507065081605,6.13758816399345,207.124266526882,188.075984164543,15,17,2,797,831,106.035093998129,293.869056363165,116.687678051114,288.268117656736,468.690218028721,9339.80748371606,,4515.6345924963
ERBB4,PIK3CA,176.498934974078,975.019898012403,0.001,8082.21901127303,0.90487672175491,0.573778568925505,0.139599795186867,3.63772162345436,1.02540272523257,3.5476028431944,172.383276130125,1025.37360989448,18,51,3,1133,1205,111.364760690739,263.120363513138,731.304154701439,1267.69182126207,,1452.95040142449,1960.25038184062,22235.2061200641
ERBB4,PLEC,210.283386366364,220.416587832522,0.001,4648.43145099875,0.919456380980109,0.304197047298962,0.0164664997903427,3.62305510512866,0.471792889804178,7.67933384208575,207.124266526564,257.331182106785,14,17,3,797,831,125.490210288679,326.684591221158,131.53768913795,342.425816058061,,3096.2696622964,1115.32895953252,13144.7162957262
ERBB4,POLE,173.74576054428,239.270880439524,0.001,9312.53158301586,0.957683440046459,0.309116453633063,0.00054989104764043,4.63207619758429,0.352156065936468,13.1534755343955,172.38327612985,301.164117384505,17,15,4,1169,1205,109.628100225645,259.010744728358,137.689061601951,381.591913479999,,4360.16655254966,2800.42526602505,23176.3584027836
ERBB4,PREX2,183.765915433712,224.023903348486,1050.63488328651,1062.989358816,1,0.999820627947473,0.192568879415303,2.44766284364118,0.524670160897791,4.66514588794769,192.445989110589,230.968574244136,18,22,2,995,1037,111.975319210206,280.746428526381,143.76704872304,329.331129314485,,5159.12549654911,,6196.28641592324
ERBB4,PTPRT,173.520915031785,94.7528629113648,0.001,3801.9788226952,0.983939856108159,0.52167196491471,0.000524264659394674,4.65162629920616,0.355556435181715,13.082666600673,172.38327612988,121.039834766175,17,14,4,1170,1205,109.486608393994,258.675457305638,53.3797073051109,153.40745065473,,5799.94376936688,1141.0338818657,9498.42785099249
ERBB4,RASA1,174.346926505773,343.886779611886,0.001,6400.35830603451,0.95167951050568,0.475426512654167,0.0222302683861548,3.59664220249962,0.499298752292875,7.20338712240549,172.383276129196,388.123803751702,18,22,3,1162,1205,110.006603463766,259.907138123575,219.46137030386,508.266741256435,,3001.913009584,1545.25757236562,17783.9513088799
ERBB4,ROBO2,208.764920513436,189.657950621853,0.001,8101.33460085305,0.974006986054276,0.574574166293445,0.000498239992602617,4.85835140778628,0.398403275554571,12.194556887173,207.124266525846,251.085367931792,13,12,4,802,831,124.585622095128,324.319729016892,101.558651724034,318.095778500781,,6778.46158653827,2377.62930461061,21344.4091561026
ERBB4,ROS1,173.454322214848,211.039820033914,0.001,6196.41950535245,0.981242484049035,0.69933063519726,0.00727830194443807,3.50543665779744,0.32525104804733,10.7776337043112,172.383276129524,254.489764994934,18,14,3,1170,1205,109.444647172459,258.576490700419,118.891034373669,341.678630862712,,5688.1642980764,1502.55743279756,17053.3825109419
ERBB4,RYR1,169.029445592318,302.042833001887,0.001,0.001,0.805467012085428,0.836006830433109,0.673398588282641,2.00485768307376e-06,0.417157833414891,4.80599313373028e-06,165.720785677987,299.431548500401,11,21,0,633,665,87.767515285654,289.501645295834,190.568229304838,450.306417623807,,1513.2588839252,,3356.17952056343
ERBB4,SACS,211.985997603902,281.775019962051,0.001,5988.99797342945,0.930486759785896,0.299397140396415,0.00129768125536991,6.11182578924037,0.908327911830192,6.7286557086258,207.12426652654,322.458129186044,12,33,5,781,831,126.506143820103,329.329577502879,196.237458283545,389.163963839071,,2493.29898136084,2012.00710206378,14728.3226123633
ERBB4,SF3B1,174.705663812458,855.113811697536,0.001,7652.8809012833,0.951323894126782,0.751929402905278,0.243258311072935,2.43335726374316,0.619888123543671,3.92547811665201,172.383276128912,905.472453279708,19,30,2,1154,1205,110.233635902964,260.443174620995,584.468650359035,1198.668144604,,2339.37123644195,1247.27177672024,24975.410902212
